"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"                            Cattle: number of farms and heads by size of farm (UAA) and size of cattle herd"	"ef_ls_gzcatl"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	269211
"                            Cattle: number of farms and heads by size of farm (UAA) and livestock units (LSU) of farm"	"ef_ls_gzcatllsu"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	307346
"                            Dairy cows: number of farms and heads by size of farm (UAA) and size of dairy herd"	"ef_ls_gzdcow"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	247649
"                            Other cows: number of farms and heads by size of farm (UAA) and size of other cow herd"	"ef_ls_gzocow"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	236827
"                            Sheep: number of farms and heads by size of farm (UAA) and size of sheep flock"	"ef_ls_gzsheep"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	116073
"                            Goats: number of farms and heads by size of farm (UAA) and size of goat herd"	"ef_ls_gzgoat"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	85340
"                            Fodder crops: number of farms and areas by size of farm (UAA) and size of fodder crops area"	"ef_ls_gzforage"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	194398
"                        Granivores"	"ef_ls_gv"	"folder"	" "	" "	" "	" "	
"                            Pigs: number of farms and heads by size of farm (UAA) and size of breeding sow herd"	"ef_ls_gvsows"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	128862
"                            Pigs: number of farms and heads by size of farm (UAA) and size of other pig herd"	"ef_ls_gvopig"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	130626
"                            Poultry: number of farms and heads by size of farm (UAA) and size of broiler flock"	"ef_ls_gvbroiler"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	105121
"                            Poultry: number of farms and heads by size of farm (UAA) and size of laying hen flock"	"ef_ls_gvlayhen"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	106661
"                    Special interest topics"	"ef_so"	"folder"	" "	" "	" "	" "	
"                        Labour force"	"ef_so_lf"	"folder"	" "	" "	" "	" "	
"                            Labour force: number of persons and farm work (AWU) by sex of worker, category of worker, legal status of holding, size of farm (UAA) and NUTS 2 region"	"ef_so_lfaa"	"dataset"	"15.04.2009"	"21.12.2023"	"1990"	"2007"	1714420
"                            Labour force: number of persons and farm work (AWU) by sex of worker, category of worker, legal status of holding, economic size of farm (ESU) and NUTS 2 region"	"ef_so_lfesu"	"dataset"	"15.04.2009"	"21.12.2023"	"1990"	"2007"	1676077
"                            Labour force: number of persons and farm work (AWU) by age of worker, category of worker and size of farm (UAA)"	"ef_so_lfage"	"dataset"	"23.04.2009"	"21.12.2023"	"1990"	"2007"	80750
"                            Labour force: number of persons and farm work (AWU) by working time (% AWU), category of worker and size of farm (UAA)"	"ef_so_lfwtime"	"dataset"	"27.03.2009"	"11.10.2024"	"1990"	"2007"	133185
"                            Family labour force: number of persons and farm work (AWU) by sex of worker, age of worker and size of farm (UAA)"	"ef_so_lfsexage"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	37939
"                        Rural development"	"ef_so_rd"	"folder"	" "	" "	" "	" "	
"                            Other activities on the holding: number of farms, agricultural area and economic size (ESU) by legal status of holding and size of farm (UAA)"	"ef_so_rdaa"	"dataset"	"27.03.2009"	"21.12.2023"	"2000"	"2007"	87468
"                            Other activities on the holding: number of farms, agricultural area and economic size (ESU) by legal status of holding, type of farming (1-digit) and economic size of farm (ESU)"	"ef_so_rdft"	"dataset"	"27.03.2009"	"21.12.2023"	"2000"	"2007"	728460
"                            Other activities on the holding: number of farms, agricultural area and economic size (ESU) by age of holder and sex of holder"	"ef_so_rdsexage"	"dataset"	"27.03.2009"	"21.12.2023"	"2000"	"2007"	56565
"                            Family labour force with other gainful activity: number of persons by size of farm (UAA)"	"ef_so_rdlfoga"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	20862
"                        Management and practises"	"ef_so_mp"	"folder"	" "	" "	" "	" "	
"                            Holder-manager relationship: selected variables by size of farm (UAA) (2000-2007)"	"ef_so_mplegper"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	124186
"                            Type of tenure: number of farms and areas by size of farm (UAA) and NUTS 2 region (1990-2007)"	"ef_so_mptenure"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	111860
"                            Agricultural training of farm managers: selected variables by economic size of farm (ESU) (1990-2005)"	"ef_so_mptrain"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2005"	10555
"                            Organic farming: selected variables by size of farm (UAA) and NUTS 2 region (2000-2007)"	"ef_so_mporg"	"dataset"	"18.04.2009"	"21.12.2023"	"2000"	"2007"	98860
"                            Farm machinery: number of farms and machines by size of farm (UAA) (1990-2005)"	"ef_so_mpmachin"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2005"	15555
"                    Structure of agricultural holdings by region, main indicators"	"ef_r_main"	"folder"	" "	" "	" "	" "	
"                        Structure of agricultural holdings by eurofarm region, main indicators"	"ef_r_farm"	"dataset"	"17.07.2009"	"08.02.2021"	"1990"	"2007"	414026
"                        Structure of agricultural holdings by NUTS 3 region - main indicators"	"ef_r_nuts"	"dataset"	"10.09.2009"	"21.12.2023"	"2000"	"2007"	615432
"            Economic accounts for agriculture"	"aact"	"folder"	" "	" "	" "	" "	
"                Economic accounts for agriculture"	"aact_eaa"	"folder"	" "	" "	" "	" "	
"                    Economic accounts for agriculture - values at current prices"	"aact_eaa01"	"dataset"	"10.07.2025"	"13.03.2025"	"1973"	"2024"	1534117
"                        Output of the agricultural industry - basic and producer prices"	"tag00102"	"table"	"10.07.2025"	"13.03.2025"	"2013"	"2024"	828
"                        Gross value added of the agricultural industry - basic and producer prices"	"tag00056"	"table"	"10.07.2025"	"13.03.2025"	"2013"	"2024"	818
"                        Crop output - basic and producer prices"	"tag00054"	"table"	"10.07.2025"	"13.03.2025"	"2013"	"2024"	828
"                        Animal output - basic and producer prices"	"tag00055"	"table"	"10.07.2025"	"13.03.2025"	"2013"	"2024"	828
"                    Economic accounts for agriculture - values at n-1 prices"	"aact_eaa02"	"dataset"	"10.07.2025"	"26.06.2025"	"1973"	"2024"	1431679
"                    Economic accounts for agriculture - values at constant prices (2015 = 100)"	"aact_eaa03"	"dataset"	"10.07.2025"	"26.06.2025"	"1973"	"2024"	1051334
"                    Economic accounts for agriculture - values at real prices"	"aact_eaa04"	"dataset"	"13.08.2025"	"26.06.2025"	"1973"	"2024"	3071422
"                    Economic accounts for agriculture – indices (volume, price, values)"	"aact_eaa05"	"dataset"	"10.07.2025"	"26.06.2025"	"1973"	"2024"	5710485
"                    Economic accounts for agriculture - agricultural income indicators"	"aact_eaa06"	"dataset"	"13.08.2025"	"13.08.2025"	"1973"	"2024"	15659
"                        Indicator A of the income from agricultural activity"	"tag00057"	"table"	"13.08.2025"	"13.08.2025"	"2013"	"2024"	414
"                    Economic accounts for agriculture - values at constant prices (2010 = 100)"	"aact_eaa07"	"dataset"	"10.07.2025"	"26.06.2025"	"1973"	"2024"	1011240
"                    Economic accounts for agriculture by NUTS 2 region"	"agr_r_accts"	"dataset"	"13.08.2025"	"27.01.2025"	"1980"	"2023"	3132628
"                    Economic accounts for agriculture by NUTS 2 region (until 2012)"	"agr_r_accts_h"	"dataset"	"07.03.2016"	"02.07.2024"	"1973"	"2012"	2320007
"                Agricultural labour input statistics"	"aact_ali"	"folder"	" "	" "	" "	" "	
"                    Agricultural labour input statistics - absolute figures (thousand annual work units)"	"aact_ali01"	"dataset"	"15.05.2025"	"01.10.2025"	"1973"	"2024"	4465
"                    Agricultural labour input statistics - indices"	"aact_ali02"	"dataset"	"15.05.2025"	"13.03.2025"	"1973"	"2024"	12683
"                Unit value statistics for agricultural products"	"aact_uv"	"folder"	" "	" "	" "	" "	
"                    Unit values at basic prices"	"aact_uv01"	"dataset"	"04.03.2020"	"21.12.2023"	"1980"	"2018"	95674
"                    Unit values at producer prices"	"aact_uv02"	"dataset"	"04.03.2020"	"21.12.2023"	"1980"	"2018"	98708
"                    Unit values - quantities (thousand tonnes)"	"aact_uv03"	"dataset"	"04.03.2020"	"21.12.2023"	"1980"	"2018"	47228
"            Agricultural prices and price indices"	"apri"	"folder"	" "	" "	" "	" "	
"                Selling prices of agricultural products (absolute prices)"	"apri_ap"	"folder"	" "	" "	" "	" "	
"                    Selling prices of crop products (absolute prices) - annual price (from 2000 onwards)"	"apri_ap_crpouta"	"dataset"	"15.05.2025"	"14.05.2025"	"2000"	"2024"	52664
"                        Selling prices of maize"	"tag00062"	"table"	"15.05.2025"	"14.05.2025"	"2013"	"2024"	193
"                        Selling prices of barley"	"tag00060"	"table"	"15.05.2025"	"14.05.2025"	"2013"	"2024"	250
"                        Selling prices of sugar beet (unit value)"	"tag00064"	"table"	"15.05.2025"	"14.05.2025"	"2013"	"2024"	163
"                        Selling prices of main crop potatoes"	"tag00063"	"table"	"15.05.2025"	"14.05.2025"	"2013"	"2024"	299
"                        Selling prices of soft wheat"	"tag00059"	"table"	"15.05.2025"	"14.05.2025"	"2013"	"2024"	289
"                        Selling prices of oats"	"tag00061"	"table"	"15.05.2025"	"14.05.2025"	"2013"	"2024"	282
"                    Selling prices of animal products (absolute prices) - annual price (from 2000 onwards)"	"apri_ap_anouta"	"dataset"	"15.05.2025"	"14.05.2025"	"2000"	"2024"	20373
"                        Selling prices of chickens (live 1st choice)"	"tag00068"	"table"	"15.05.2025"	"14.05.2025"	"2013"	"2024"	256
"                        Selling prices of fresh eggs"	"tag00071"	"table"	"15.05.2025"	"14.05.2025"	"2013"	"2024"	304
"                        Selling prices of sheep"	"tag00069"	"table"	"15.05.2025"	"14.05.2025"	"2013"	"2024"	219
"                        Selling prices of piglets"	"tag00067"	"table"	"15.05.2025"	"14.05.2025"	"2013"	"2024"	254
"                        Selling prices of pigs (light)"	"tag00066"	"table"	"15.05.2025"	"14.05.2025"	"2013"	"2024"	191
"                        Selling prices of raw cow's milk"	"tag00070"	"table"	"15.05.2025"	"14.05.2025"	"2013"	"2024"	280
"                        Selling prices of calves"	"tag00065"	"table"	"15.05.2025"	"14.05.2025"	"2013"	"2024"	247
"                    Purchase prices of the means of agricultural production (absolute prices) - annual price (from 2000 onwards)"	"apri_ap_ina"	"dataset"	"15.05.2025"	"14.05.2025"	"2000"	"2024"	30319
"                    Selling prices of crop products (absolute prices) - annual - old codes - data from 1969 to 2005"	"apri_ap_hcouta"	"dataset"	"27.03.2009"	"21.12.2023"	"1969"	"2006"	56536
"                    Selling prices of crop products (absolute prices) - monthly - old codes - data from 1969 to 2006"	"apri_ap_hcoutm"	"dataset"	"27.03.2009"	"21.12.2023"	"1969-01"	"2006-09"	292541
"                    Selling prices of animal products (absolute prices) - annual - old codes - data from 1969 to 2005"	"apri_ap_haouta"	"dataset"	"27.03.2009"	"21.12.2023"	"1969"	"2006"	26920
"                    Selling prices of animal products (absolute prices) - monthly - old code - data from 1969 to 2006"	"apri_ap_haoutm"	"dataset"	"27.03.2009"	"21.12.2023"	"1969-01"	"2006-09"	300053
"                    Purchase prices of the means of agricultural production (absolute prices) - annual - old codes - data from 1969 to 2005"	"apri_ap_hia"	"dataset"	"27.03.2009"	"21.12.2023"	"1969"	"2006"	29100
"                    Purchase prices of the means of agricultural production (absolute prices) - monthly - old codes - data from 1969 to 2006"	"apri_ap_him"	"dataset"	"27.03.2009"	"21.12.2023"	"1969-01"	"2006-09"	275308
"                Price indices of agricultural products"	"apri_pi"	"folder"	" "	" "	" "	" "	
"                    Price indices of agricultural products (2020 = 100)"	"apri_pi20"	"folder"	" "	" "	" "	" "	
"                        Price indices of the means of agricultural production, input (2020 = 100) - annual data"	"apri_pi20_ina"	"dataset"	"09.09.2025"	"03.03.2025"	"2020"	"2024"	24446
"                        Price indices of the means of agricultural production, input (2020 = 100) - quarterly data"	"apri_pi20_inq"	"dataset"	"20.10.2025"	"09.09.2025"	"2020-Q1"	"2025-Q2"	108443
"                        Price indices of agricultural products, output (2020 = 100) - annual data"	"apri_pi20_outa"	"dataset"	"09.09.2025"	"03.03.2025"	"2020"	"2024"	37580
"                        Price indices of agricultural products, output (2020 = 100) - quarterly data"	"apri_pi20_outq"	"dataset"	"09.09.2025"	"09.09.2025"	"2020-Q1"	"2025-Q2"	146796
"                    Price indices of agricultural products (2015 = 100)"	"apri_pi15"	"folder"	" "	" "	" "	" "	
"                        Price indices of the means of agricultural production, input (2015 = 100) - annual data"	"apri_pi15_ina"	"dataset"	"19.01.2024"	"19.01.2024"	"2015"	"2023"	43076
"                        Price indices of the means of agricultural production, input (2015 = 100) - quarterly data"	"apri_pi15_inq"	"dataset"	"20.12.2023"	"21.12.2023"	"2015-Q1"	"2023-Q3"	184800
"                        Price indices of agricultural products, output (2015 = 100) - annual data"	"apri_pi15_outa"	"dataset"	"19.01.2024"	"19.01.2024"	"2015"	"2023"	68908
"                        Price indices of agricultural products, output (2015 = 100) - quarterly data"	"apri_pi15_outq"	"dataset"	"20.12.2023"	"21.12.2023"	"2015-Q1"	"2023-Q3"	207098
